timestamp,ear_left,ear_right,ear_avg,blink_detected,total_blinks,eye_distance,saccade_count,fixation_duration,face_detected,label
0.0,0.3058794592683153,0.2876133753709629,0.2967464173196391,False,0,134.18759278938285,0,0.0,True,0
0.07,0.31499851813020197,0.29582204083366026,0.3054102794819311,False,0,133.07943672097056,0,0.0,True,0
0.13,0.31226191846796886,0.31067957310467714,0.311470745786323,False,0,134.0476844198816,0,0.0,True,0
0.2,0.31425650948076433,0.3195299388761731,0.3168932241784687,False,0,134.99853733794873,0,0.0,True,0
0.27,0.3208780163249293,0.3119402267767315,0.3164091215508304,False,0,136.10589576063043,0,0.0,True,0
0.34,0.3158909396205958,0.3036572971262549,0.30977411837342533,False,0,137.18083377591856,0,0.0,True,0
0.4,0.34558042546542406,0.311932357976334,0.328756391720879,False,0,137.1466112319884,0,0.0,True,0
0.46,0.30072395978568595,0.2717417208424721,0.28623284031407903,False,0,134.80039311761925,0,0.0,True,0
0.53,0.17969124061135777,0.12364636434822801,0.1516688024797929,False,0,132.73028064771898,0,0.0,True,0
0.59,0.25882919404513394,0.24095336915561688,0.2498912816003754,False,0,131.93427888204963,0,0.0,True,0
0.66,0.2751842472302405,0.2838811696048084,0.2795327084175244,False,0,134.28399884339333,0,0.0,True,0
0.73,0.28746350527080894,0.2820071781768032,0.2847353417238061,False,0,133.76128250674577,0,0.0,True,0
0.8,0.30627538184156916,0.31240185268995796,0.30933861726576356,False,0,136.16940131344148,0,0.0,True,0
0.87,0.3178666535293268,0.3266971950736095,0.3222819243014682,False,0,136.1122893318548,0,0.0,True,0
0.92,0.3258623365043001,0.3208350656065795,0.3233487010554398,False,0,136.02393686255706,0,0.0,True,0
0.99,0.31847334635231206,0.31946176804934145,0.31896755720082676,False,0,135.2259005131207,0,0.0,True,0
1.06,0.3100510336363228,0.31362383194795335,0.31183743279213805,False,0,135.0164402068278,0,0.0,True,0
1.13,0.11691962302559769,0.07492370902093824,0.09592166602326796,False,0,133.77945198279411,0,0.0,True,0
1.19,0.14451672381260725,0.11209918552581052,0.12830795466920888,False,0,132.0891756429783,0,0.0,True,0
1.27,0.1494378444938675,0.11645755397164406,0.1329476992327558,False,0,131.63619030945344,0,0.0,True,0
1.33,0.2851306996546924,0.27220892873114516,0.2786698141929188,False,0,133.8662842303537,0,0.0,True,0
1.4,0.2912122142344659,0.2882494894326199,0.2897308518335429,False,0,132.43362686833075,0,0.0,True,0
1.46,0.29336785779581426,0.2894081938494664,0.29138802582264034,True,1,132.77253215606302,0,0.0,True,0
