timestamp,ear,blink_count,label
0.0,0.2967464173196391,0,0
0.07,0.3054102794819311,0,0
0.13,0.311470745786323,0,0
0.2,0.3168932241784687,0,0
0.27,0.3164091215508304,0,0
0.34,0.30977411837342533,0,0
0.4,0.328756391720879,0,0
0.46,0.28623284031407903,0,0
0.53,0.1516688024797929,0,0
0.59,0.2498912816003754,0,0
0.66,0.2795327084175244,0,0
0.73,0.2847353417238061,0,0
0.8,0.30933861726576356,0,0
0.87,0.3222819243014682,0,0
0.92,0.3233487010554398,0,0
0.99,0.31896755720082676,0,0
1.06,0.31183743279213805,0,0
1.13,0.09592166602326796,0,0
1.19,0.12830795466920888,0,0
1.27,0.1329476992327558,0,0
1.33,0.2786698141929188,0,0
1.4,0.2897308518335429,0,0
1.46,0.29138802582264034,1,0
1.52,0.2952445131035507,1,0
1.59,0.3043040127322072,1,0
1.66,0.3045564749122966,1,0
1.73,0.3038291136492759,1,0
1.8,0.2948446515846763,1,0
1.87,0.14469542086266388,1,0
1.92,0.15307578894301843,1,0
2.0,0.08048134357542994,1,0
2.06,0.10685699358848062,1,0
2.13,0.306676555845812,1,0
2.2,0.3173795249955854,1,0
2.26,0.30687097552122045,2,0
2.32,0.3143278201855187,2,0
2.39,0.3280250745058131,2,0
2.46,0.32835347630085165,2,0
2.53,0.32405287783723,2,0
2.59,0.21598341564870824,2,0
2.66,0.20279672057267156,2,0
2.72,0.1376546802520479,2,0
2.8,0.2566668186262531,2,0
2.86,0.2645788790713704,2,0
2.94,0.2900368495656733,2,0
3.0,0.31041183891144286,2,0
3.08,0.3225622767672853,2,0
3.14,0.3157430762320853,2,0
3.21,0.3167524557175252,2,0
3.28,0.319858974878111,2,0
3.34,0.31899366948896046,2,0
3.41,0.3193110709985246,2,0
3.48,0.14643480129945496,2,0
3.54,0.09729021501662868,2,0
3.61,0.10690889135215176,2,0
3.67,0.12160852952477995,2,0
3.74,0.29327401566067735,2,0
3.81,0.2980928706301206,2,0
3.88,0.30178991819985246,3,0
3.95,0.30116286446700224,3,0
4.01,0.3112859490682552,3,0
4.08,0.309931526453168,3,0
4.14,0.3118352894594234,3,0
4.21,0.3089614654970857,3,0
4.28,0.3141077012190777,3,0
4.35,0.16811406330326434,3,0
4.41,0.09891075039273152,3,0
4.48,0.09543415222395965,3,0
4.54,0.09084376081706985,3,0
4.61,0.2514572801832912,3,0
4.68,0.3024220237201763,3,0
4.74,0.3084435570667081,3,0
4.81,0.32126909731757636,4,0
4.88,0.3175044619059622,4,0
4.94,0.3163760886313465,4,0
5.0,0.3041046067326397,4,0
5.09,0.3094919108682962,4,0
5.16,0.3121574777152132,4,0
5.23,0.3121923189532206,4,0
5.3,0.17763283972135724,4,0
5.36,0.11457033166199664,4,0
5.42,0.1761626090848728,4,0
5.49,0.29299530014103964,4,0
5.56,0.2985640116079754,4,0
5.63,0.3107292667107958,4,0
5.69,0.31447769512477886,4,0
5.76,0.3232983280722679,4,0
5.83,0.3217237678550625,4,0
5.9,0.3198293947443306,4,0
5.96,0.3099875321622787,4,0
6.03,0.29569173447160946,4,0
6.1,0.2930623017211932,4,0
6.16,0.2972788896897272,4,0
6.22,0.2862833378318016,4,0
6.29,0.29300648312499644,4,0
6.35,0.2636994159696393,4,0
6.43,0.26351486554062203,4,0
6.5,0.269703599823101,4,0
6.57,0.2795625286113088,4,0
6.63,0.27383800872108804,4,0
