timestamp,ear_left,ear_right,ear_avg,blink_detected,total_blinks,eye_distance,saccade_count,fixation_duration,face_detected,label
0.0,0.2144829542480584,0.099503219123043,0.1569930866855507,False,0,110.6200492512074,0,0.0,True,0
0.07,0.1869976017884463,0.1046809519656821,0.1458392768770642,False,0,111.35504851790657,0,0.0,True,0
0.16,0.225987622412205,0.11222840727412459,0.1691080148431648,False,0,110.72416809967778,0,0.0,True,0
0.24,0.2826661878969243,0.229396531806269,0.25603135985159664,True,1,110.82183319914479,0,0.0,True,0
0.3,0.3154191974707818,0.27036467050646124,0.2928919339886215,False,1,111.16110541070844,0,0.0,True,0
0.38,0.32653503183038063,0.27311442973309447,0.29982473078173755,False,1,112.17746522583069,0,0.0,True,0
0.45,0.3453079849788515,0.2898257028936299,0.3175668439362407,False,1,111.58417314405668,0,0.0,True,0
0.51,0.32428831229912564,0.2598196327631626,0.2920539725311441,False,1,111.99593382560103,0,0.0,True,0
0.57,0.33543206994899427,0.2607581422241898,0.29809510608659207,False,1,112.61387931530268,0,0.0,True,0
0.65,0.32662700236331543,0.262318703524013,0.2944728529436642,False,1,112.1785727357605,0,0.0,True,0
0.72,0.3376415729742792,0.2608030232198939,0.29922229809708656,False,1,112.4223074302578,0,0.0,True,0
0.79,0.3287533987807042,0.24584487695223992,0.28729913786647204,False,1,112.70644657866026,0,0.0,True,0
0.87,0.33087004115477553,0.24366224109668674,0.2872661411257311,False,1,112.48601491688294,0,0.0,True,0
0.93,0.3301991980854977,0.24986497975527608,0.2900320889203869,False,1,113.06416071010482,0,0.0,True,0
1.0,0.32520985956399645,0.21421914419438148,0.269714501879189,False,1,110.5104151649746,0,0.0,True,0
1.08,0.2844464594678299,0.19669653877534318,0.24057149912158654,False,1,109.70560982605048,0,0.0,True,0
1.14,0.27390622462890585,0.13497803092125385,0.20444212777507986,False,1,109.70230901235388,0,0.0,True,0
1.2,0.17134577008364335,0.12463888695989646,0.1479923285217699,False,1,111.31115726035642,0,0.0,True,0
1.27,0.1864587448044926,0.15137043506186404,0.16891458993317832,False,1,110.63137195401042,0,0.0,True,0
1.34,0.16713847001491944,0.15050401523625828,0.15882124262558886,False,1,110.84717824115609,0,0.0,True,0
1.41,0.18693069117982822,0.13599198963885017,0.16146134040933918,False,1,110.65785581837928,0,0.0,True,0
1.47,0.16531579874501115,0.1157981035986931,0.14055695117185213,False,1,111.37150423342672,0,0.0,True,0
1.55,0.1985412113963801,0.13072683064951066,0.1646340210229454,False,1,111.0907445285898,0,0.0,True,0
1.61,0.18726958607449162,0.1047720337631005,0.14602080991879607,False,1,111.43838306975911,0,0.0,True,0
1.67,0.2288079191733125,0.128100756179828,0.17845433767657026,False,1,110.69643623440376,0,0.0,True,0
1.74,0.2755998605669102,0.1734029374340262,0.22450139900046823,False,1,109.83142198247828,0,0.0,True,0
1.81,0.30227636199840496,0.2417157141432821,0.27199603807084355,True,2,111.9715332193897,0,0.0,True,0
1.86,0.29549509114754363,0.24158111819692935,0.2685381046722365,False,2,111.68073580256696,0,0.0,True,0
1.93,0.31115883778818526,0.25980519676214153,0.2854820172751634,False,2,111.84665410864406,0,0.0,True,0
1.98,0.34224086399096965,0.28754834725809764,0.31489460562453364,False,2,112.21794119493217,0,0.0,True,0
2.04,0.3383395465693691,0.28564290528301434,0.3119912259261917,False,2,111.93214575674212,0,0.0,True,0
2.1,0.34292878895321366,0.2666344771857112,0.30478163306946243,False,2,113.12412129665339,0,0.0,True,0
2.16,0.33045306779982875,0.28160627292723767,0.30602967036353323,False,2,114.00402623817554,0,0.0,True,0
2.22,0.35106622516977626,0.2894737055248585,0.3202699653473174,False,2,113.20248680113639,0,0.0,True,0
