user_id,created_at,last_session
user_yas,2025-05-18 19:03:10.460588,2025-05-18 22:12:45.912665
user_ameer,2025-05-18 20:20:33.625718,2025-05-18 22:50:24.847131
user_venky,2025-05-18 22:04:03.851880,2025-05-18 22:04:03.862837
user_rishi,2025-05-18 22:13:28.589894,2025-05-19 11:21:00.813815
user_yash,2025-05-19 11:11:54.061350,2025-05-19 11:11:54.092409
user_test,2025-05-19 11:22:59.663181,2025-05-19 11:30:23.237009
user_jyotsna,2025-05-19 14:30:46.028275,2025-05-19 14:30:46.034334
