timestamp,ear_left,ear_right,ear_avg,blink_detected,total_blinks,eye_distance,saccade_count,fixation_duration,face_detected,label
0.0,0.2564962395113603,0.2972806161071795,0.2768884278092699,False,0,103.3149627006871,0,0.0,True,0
0.07,0.26496715622152694,0.3107480539194207,0.2878576050704738,False,0,102.8200967572286,0,0.0,True,0
0.14,0.28088042607808983,0.3050599054318281,0.29297016575495893,False,0,104.75733739149179,0,0.0,True,0
0.2,0.2581919498555215,0.30127783205696995,0.2797348909562457,False,0,103.85078673494995,0,0.0,True,0
0.27,0.2839740866679695,0.28824208808912377,0.28610808737854665,False,0,110.66846913354665,1,0.19347643852233887,True,0
0.33,0.28675167676219315,0.3117504134291951,0.2992510450956941,False,0,108.58418169405,1,0.19347643852233887,True,0
0.4,0.27632536090662896,0.3085461439496226,0.2924357524281258,False,0,108.55584986777859,2,0.12756407260894775,True,0
0.46,0.266346091428021,0.30218825851856446,0.28426717497329274,False,0,106.97229676534718,2,0.12756407260894775,True,0
0.52,0.27849253007482816,0.29651664489769386,0.287504587486261,False,0,107.07970395973562,2,0.12756407260894775,True,0
0.58,0.27558076786549185,0.2942872808712789,0.2849340243683854,False,0,107.2250929964906,2,0.12756407260894775,True,0
0.64,0.272474423428049,0.2941056849080572,0.2832900541680531,False,0,106.41074249337433,3,0.14579407374064127,True,0
0.7,0.279938681612446,0.2853763852455575,0.28265753342900174,False,0,106.43866047866916,3,0.14579407374064127,True,0
0.77,0.2787721660782187,0.27921854830676945,0.2789953571924941,False,0,106.47905545197156,3,0.14579407374064127,True,0
0.85,0.2660488167361981,0.26547090216947994,0.26575985945283903,False,0,108.30897072235621,3,0.14579407374064127,True,0
0.91,0.25723938663745466,0.29766035080319847,0.27744986872032656,False,0,109.25575436997673,3,0.14579407374064127,True,0
0.97,0.27979207530692135,0.29909424033631227,0.2894431578216168,False,0,108.19823705292045,3,0.14579407374064127,True,0
1.04,0.27479289061205125,0.30927524239512644,0.2920340665035889,False,0,109.08122303627258,3,0.14579407374064127,True,0
1.12,0.2791431336416218,0.3100543424052111,0.29459873802341646,False,0,110.91841821761255,3,0.14579407374064127,True,0
1.2,0.28459485234544907,0.3093086248656409,0.296951738605545,False,0,111.44173154074126,3,0.14579407374064127,True,0
1.26,0.29174572310316693,0.3063343285929509,0.2990400258480589,False,0,111.88889328025793,3,0.14579407374064127,True,0
